host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,solo.dual.count,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20,prop.gp.21,prop.gp.22,prop.gp.23,prop.gp.24,prop.gp.25,prop.gp.26,prop.gp.27,prop.gp.28,prop.gp.29,prop.gp.30,prop.gp.31,prop.gp.32,prop.gp.33
200703_20-07825_HIV09-00618_FL18_S6_L000,1000_to_1250,1125,287,2241,1,1,0.005371733275457386,0.005371733275457386,0.009202793,0.0302851611,0.011100859542696328,0.011100859542696328,0.004478992807982003,0.004478992807982003,0.007673360077029781,0.02525200187716439,0.00925598266044244,0.00925598266044244,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1000_to_1250,1125,348,1897,1,1,0.014935928068950971,0.014935928068950971,0.026262778,0.07789125390000001,0.017661505399494848,0.017661505399494848,0.012453692499405004,0.012453692499405004,0.021898107695902322,0.06494633075263676,0.014726299986615983,0.014726299986615983,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1000_to_1250,1125,444,1542,1,1,0.01282536109559014,0.01282536109559014,0.0168145188,0.058747950199999996,0.017664849978936612,0.017664849978936612,0.010693885411134675,0.010693885411134675,0.014020076000230223,0.04898449586685408,0.014729088722857567,0.014729088722857567,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1000_to_1250,1125,416,980,1,1,0.025426402617653044,0.025426402617653044,0.021587950700000004,0.0803959515,0.03084208436047382,0.03084208436047382,0.02120073142455604,0.02120073142455604,0.018000200487641862,0.06703476700985478,0.025716368804996958,0.025716368804996958,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1000_to_1250,1125,352,1291,1,1,0.024827484458946565,0.024827484458946565,0.0133575537,0.0915363662,0.032407030618570316,0.032407030618570316,0.02070134882533573,0.02070134882533573,0.011137631726407561,0.0763237310668031,0.027021233115166143,0.027021233115166143,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1010_to_1260,1135,291,2338,1,1,0.00516224047065868,0.00516224047065868,0.0083675206,0.029004003599999998,0.010779816360748904,0.010779816360748904,0.004297649755501667,0.004297649755501667,0.006966097969503681,0.02414630811729791,0.00897437370661932,0.00897437370661932,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1010_to_1260,1135,351,1974,1,1,0.0146536622485309,0.0146536622485309,0.0258244992,0.0768402234,0.01763569346736671,0.01763569346736671,0.01219941386643062,0.01219941386643062,0.021499318620209845,0.06397074471534009,0.014682003705352404,0.014682003705352404,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1010_to_1260,1135,482,1652,1,1,0.012461260924939464,0.012461260924939464,0.0164515359,0.0617346573,0.017154831454272306,0.017154831454272306,0.010374203850382678,0.010374203850382678,0.013696173132601184,0.05139511348983541,0.01428167820235593,0.01428167820235593,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1010_to_1260,1135,442,1048,1,1,0.027147163253912223,0.027147163253912223,0.0189000061,0.10928797800000001,0.031740235875150055,0.031740235875150055,0.022600458111912254,0.022600458111912254,0.015734564682973972,0.09098403195290168,0.026424266309120377,0.026424266309120377,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1010_to_1260,1135,384,1425,1,47,0.015433091109894732,0.015433091109894732,0.0178701308,0.0986117648,0.032377816364824036,0.032377816364824036,0.012848301161493766,0.012848301161493766,0.01487717662513376,0.08209590957474962,0.026955062511105594,0.026955062511105594,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1020_to_1270,1145,283,2255,1,1,0.005128890530909086,0.005128890530909086,0.0087309684,0.0333789652,0.010911138762353707,0.010911138762353707,0.00426987539670481,0.00426987539670481,0.007268657214635332,0.027788470316539186,0.009083680509583506,0.009083680509583506,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1020_to_1270,1145,340,1888,1,1,0.015680211631461865,0.015680211631461865,0.0212015508,0.09724276259999999,0.02129560110199549,0.02129560110199549,0.013054002509278824,0.013054002509278824,0.017650597061361198,0.0809560034535872,0.017728895295281977,0.017728895295281977,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1020_to_1270,1145,485,1648,1,1,0.012895993841868915,0.012895993841868915,0.016307385,0.062367997099999996,0.01793882233771151,0.01793882233771151,0.010736101012413844,0.010736101012413844,0.013576133391123712,0.05192225779711565,0.014934328522717848,0.014934328522717848,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1020_to_1270,1145,464,1053,1,1,0.01705501432032289,0.01705501432032289,0.017189528,0.10937563930000002,0.029047249521093693,0.029047249521093693,0.01419854559147458,0.01419854559147458,0.014310530171358313,0.09105679843066397,0.024182254490442357,0.024182254490442357,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1020_to_1270,1145,388,1393,1,1,0.020315998384493893,0.020315998384493893,0.013111247200000002,0.0989831557,0.03035479426525347,0.03035479426525347,0.01691336189350671,0.01691336189350671,0.010915302539996284,0.08240490582993948,0.025270804362882104,0.025270804362882104,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1030_to_1280,1155,305,2493,1,1,0.005178114402767758,0.005178114402767758,0.0083759592,0.03307498030000001,0.011134495449439171,0.011134495449439171,0.004317225249347467,0.004317225249347467,0.006983411283152768,0.02757608831440769,0.009283326159686483,0.009283326159686483,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1030_to_1280,1155,385,2136,1,1,0.01802344469761238,0.01802344469761238,0.0173451478,0.051357164999999996,0.018331703230102813,0.018331703230102813,0.015026950831205843,0.015026950831205843,0.014461424412677702,0.04281876224179058,0.01528395973759137,0.01528395973759137,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1030_to_1280,1155,576,1871,1,1,0.01787525778166754,0.01787525778166754,0.0165521904,0.061830988100000005,0.019404934046527173,0.019404934046527173,0.01490340078086357,0.01490340078086357,0.013800300412190752,0.0515512563559317,0.01617876020329148,0.01617876020329148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1030_to_1280,1155,572,1449,1,1,0.04821264332415459,0.04821264332415459,0.019569760699999997,0.1145078802,0.04247576837576329,0.04247576837576329,0.040197034075872905,0.040197034075872905,0.01631618354599669,0.09547033402438079,0.035413945203540256,0.035413945203540256,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1030_to_1280,1155,517,1971,1,1,0.025131644263723996,0.025131644263723996,0.0172979956,0.09517729869999998,0.030809143608135785,0.030809143608135785,0.020953374285236692,0.020953374285236692,0.014422111517564095,0.0793535648599603,0.025686959064620256,0.025686959064620256,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1040_to_1290,1165,338,2789,1,1,0.005168756977160265,0.005168756977160265,0.0083682476,0.036892453299999996,0.01128312435517532,0.01128312435517532,0.004322111035196044,0.004322111035196044,0.00699752289709777,0.030849444117411175,0.009434940838287435,0.009434940838287435,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1040_to_1290,1165,431,2477,1,1,0.010315461101897466,0.010315461101897466,0.017415992,0.05108045729999999,0.015375599450068526,0.015375599450068526,0.008625781490338422,0.008625781490338422,0.014563240551781905,0.04271344332007754,0.012857065702556219,0.012857065702556219,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1040_to_1290,1165,634,2085,1,1,0.013246752377458024,0.013246752377458024,0.0166092785,0.0571484757,0.019398885788443693,0.019398885788443693,0.01107692524220326,0.01107692524220326,0.013888667277008358,0.04778751613957808,0.01622133497613279,0.01622133497613279,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1040_to_1290,1165,621,1694,1,1,0.022292474495100374,0.022292474495100374,0.0176990123,0.09024271320000002,0.030358311256479142,0.030358311256479142,0.01864095186576852,0.01864095186576852,0.0147999019323072,0.07546089481305827,0.025385599027260352,0.025385599027260352,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1040_to_1290,1165,536,2251,1,1,0.01828736168031986,0.01828736168031986,0.0170943461,0.0803133213,0.025977510102713767,0.025977510102713767,0.015291879280143025,0.015291879280143025,0.014294280471058718,0.0671579441242537,0.021722376110540544,0.021722376110540544,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1050_to_1300,1175,348,3006,1,1,0.005171227273353295,0.005171227273353295,0.0083491563,0.0369804349,0.011375027501808606,0.011375027501808606,0.004343908484583791,0.004343908484583791,0.0070134165399325325,0.031064120069420456,0.009555193741357066,0.009555193741357066,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1050_to_1300,1175,499,2850,1,1,0.00701174812207017,0.00701174812207017,0.0171995928,0.059065497499999994,0.015369141524892355,0.015369141524892355,0.005889973607652764,0.005889973607652764,0.014447915967703766,0.04961590395736676,0.012910309437522919,0.012910309437522919,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
